,accelerometer_X,accelerometer_Y,accelerometer_Z,activity
0,6.7277070000000005,2.973599,3.936068,stairs
1,7.891288999999999,0.440533,-3.342306,stairs
2,6.301539,-1.154005,0.067038,stairs
3,4.534618,-5.755661,-1.369483,stairs
4,4.563349,-3.730166000000001,-0.02873,stairs
5,-0.972046,-6.660669,-2.954445,stairs
6,-2.8682540000000003,-5.4970870000000005,0.23942,stairs
7,2.767697,-4.932055,0.110133,stairs
8,2.470816,-7.718906,2.949657,stairs
9,4.941633,-6.833050999999999,-1.6998830000000005,stairs
10,1.1683709999999998,-9.816227,1.910573,stairs
11,8.073248,-5.856217,-1.359906,stairs
12,3.366248,-16.82645,1.1683709999999998,stairs
13,7.015011,-16.845604,-7.517792999999999,stairs
14,4.697424,-9.074024,-0.866701,stairs
15,-1.5466540000000002,-1.508347,0.3304,stairs
16,3.830723,-12.014104,-1.158794,stairs
17,2.418144,-9.002198,0.8236049999999999,stairs
18,3.529053,-7.436389999999999,1.905785,stairs
19,0.986411,-17.3005,-0.3830719999999999,stairs
20,-4.582502,-7.862558,9.792285,stairs
21,1.910573,-5.985504,-1.599327,stairs
22,4.458004,-6.914453999999999,-5.401319,stairs
23,2.475605,-8.705316999999999,-0.3734949999999999,stairs
24,-1.120486,-5.803545,2.044648,stairs
25,-2.39899,-8.451532,4.055778,stairs
26,5.64074,-8.566454,1.029507,stairs
27,-0.8283940000000001,-0.483629,10.582372,stairs
28,4.491523,-7.393294999999999,-1.58975,stairs
29,4.97994,-10.127473,-14.422671,stairs
30,3.529053,-7.436389999999999,1.905785,stairs
31,0.986411,-17.3005,-0.3830719999999999,stairs
32,-4.582502,-7.862558,9.792285,stairs
33,1.910573,-5.985504,-1.599327,stairs
34,4.458004,-6.914453999999999,-5.401319,stairs
35,2.475605,-8.705316999999999,-0.3734949999999999,stairs
36,-1.120486,-5.803545,2.044648,stairs
37,-2.39899,-8.451532,4.055778,stairs
38,5.64074,-8.566454,1.029507,stairs
39,-0.8283940000000001,-0.483629,10.582372,stairs
40,4.491523,-7.393294999999999,-1.58975,stairs
41,4.97994,-10.127473,-14.422671,stairs
42,1.106121,-7.115567,2.240973,stairs
43,1.355118,-8.667010000000001,1.479617,stairs
44,2.149993,-7.474697,5.93762,stairs
45,8.288725999999999,-10.783484,-3.165135,stairs
46,-0.991199,-19.416977,4.074930999999999,stairs
47,7.062895,-8.063671000000001,-0.972046,stairs
48,0.766145,-4.788403,-0.981623,stairs
49,0.02873,-6.545747,-0.6464340000000001,stairs
50,6.952762,-11.247959,0.344765,stairs
51,6.895301,-13.982138,-2.504335,stairs
52,-1.417367,-19.349937,0.177171,stairs
53,0.320823,-3.715801,-9.653421,stairs
54,-4.649539,-15.05474,1.192313,stairs
55,4.242526,-16.539145,-10.836157,stairs
56,6.789956,-6.947972999999999,-3.007117,stairs
57,0.933739,-4.606444000000001,-0.512359,stairs
58,3.2896330000000003,-7.469908999999999,-0.0430959999999999,stairs
59,-1.6519990000000002,-17.535133,-2.2505490000000004,stairs
60,-2.269703,-2.782062,2.39899,stairs
61,1.479617,-9.251195,-0.857124,stairs
62,5.152323,-11.702858,-2.27928,stairs
63,1.637634,-22.720974,-10.491392,stairs
64,-2.346318,-3.270479,1.063026,stairs
65,-1.685518,-7.580042,-1.623269,stairs
66,-1.80044,-7.465121000000001,-3.069367,stairs
67,-0.124498,-12.559982000000002,6.7516490000000005,stairs
68,1.7525560000000002,-17.501614,-3.801992,stairs
69,2.331953,-9.744401,-7.407660000000001,stairs
70,3.222596,-8.920795,-3.08852,stairs
71,-3.457227,-2.715025,0.148441,stairs
72,2.264915,-9.931149,-4.659116,stairs
73,0.9912,-10.903194,-8.183380999999999,stairs
74,2.226608,-8.044516999999999,-2.341529,stairs
75,-1.647211,-11.851298,6.775591,stairs
76,8.39886,-13.771448,-2.566584,stairs
77,2.494758,-10.328587,-8.690952000000001,stairs
78,0.8236049999999999,-7.383717999999999,-3.5960910000000004,stairs
79,-6.224924,-12.23437,-26.230873,stairs
80,1.273715,-6.502651,-3.572149,stairs
81,0.7230489999999999,-6.871359,-4.079719,stairs
82,2.226608,-7.575253999999999,-12.555194,stairs
83,3.284845,-11.96622,-3.892972,stairs
84,3.945645,-11.760319,-8.09719,stairs
85,2.801216,-9.32781,-5.133168,stairs
86,-1.35033,-3.380613,-0.057461,stairs
87,-0.253785,-6.373365,0.205901,stairs
88,-1.608903,-6.502651,-3.998317,stairs
89,1.685518,-10.146626,-1.115698,stairs
90,5.152323,-11.702858,-2.27928,stairs
91,1.637634,-22.720974,-10.491392,stairs
92,-2.346318,-3.270479,1.063026,stairs
93,-1.685518,-7.580042,-1.623269,stairs
94,-1.80044,-7.465121000000001,-3.069367,stairs
95,-0.124498,-12.559982000000002,6.7516490000000005,stairs
96,1.7525560000000002,-17.501614,-3.801992,stairs
97,2.331953,-9.744401,-7.407660000000001,stairs
98,3.222596,-8.920795,-3.08852,stairs
99,-3.457227,-2.715025,0.148441,stairs
100,2.264915,-9.931149,-4.659116,stairs
101,0.9912,-10.903194,-8.183380999999999,stairs
102,2.226608,-8.044516999999999,-2.341529,stairs
103,-1.647211,-11.851298,6.775591,stairs
104,8.39886,-13.771448,-2.566584,stairs
105,2.494758,-10.328587,-8.690952000000001,stairs
106,0.8236049999999999,-7.383717999999999,-3.5960910000000004,stairs
107,-6.224924,-12.23437,-26.230873,stairs
108,1.273715,-6.502651,-3.572149,stairs
109,0.7230489999999999,-6.871359,-4.079719,stairs
110,2.226608,-7.575253999999999,-12.555194,stairs
111,3.284845,-11.96622,-3.892972,stairs
112,3.945645,-11.760319,-8.09719,stairs
113,2.801216,-9.32781,-5.133168,stairs
114,-1.35033,-3.380613,-0.057461,stairs
115,-0.253785,-6.373365,0.205901,stairs
116,-1.608903,-6.502651,-3.998317,stairs
117,1.685518,-10.146626,-1.115698,stairs
118,-0.474052,-4.13718,-1.249773,stairs
119,-0.761356,-9.203311,-2.178723,stairs
120,-2.346318,-3.270479,1.063026,stairs
121,-1.685518,-7.580042,-1.623269,stairs
122,-1.80044,-7.465121000000001,-3.069367,stairs
123,-0.124498,-12.559982000000002,6.7516490000000005,stairs
124,1.7525560000000002,-17.501614,-3.801992,stairs
125,2.331953,-9.744401,-7.407660000000001,stairs
126,3.222596,-8.920795,-3.08852,stairs
127,-3.457227,-2.715025,0.148441,stairs
128,2.264915,-9.931149,-4.659116,stairs
129,0.9912,-10.903194,-8.183380999999999,stairs
130,2.226608,-8.044516999999999,-2.341529,stairs
131,-1.647211,-11.851298,6.775591,stairs
132,8.39886,-13.771448,-2.566584,stairs
133,2.494758,-10.328587,-8.690952000000001,stairs
134,0.8236049999999999,-7.383717999999999,-3.5960910000000004,stairs
135,-6.224924,-12.23437,-26.230873,stairs
136,1.273715,-6.502651,-3.572149,stairs
137,0.7230489999999999,-6.871359,-4.079719,stairs
138,2.226608,-7.575253999999999,-12.555194,stairs
139,3.284845,-11.96622,-3.892972,stairs
140,3.945645,-11.760319,-8.09719,stairs
141,2.801216,-9.32781,-5.133168,stairs
142,-1.35033,-3.380613,-0.057461,stairs
143,-0.253785,-6.373365,0.205901,stairs
144,-1.608903,-6.502651,-3.998317,stairs
145,1.685518,-10.146626,-1.115698,stairs
146,-0.474052,-4.13718,-1.249773,stairs
147,-0.761356,-9.203311,-2.178723,stairs
148,-1.278504,-4.1419690000000005,0.253785,stairs
149,-0.3304,-6.105214,-3.284845,stairs
150,-1.80044,-7.465121000000001,-3.069367,stairs
151,-0.124498,-12.559982000000002,6.7516490000000005,stairs
152,1.7525560000000002,-17.501614,-3.801992,stairs
153,2.331953,-9.744401,-7.407660000000001,stairs
154,3.222596,-8.920795,-3.08852,stairs
155,-3.457227,-2.715025,0.148441,stairs
156,2.264915,-9.931149,-4.659116,stairs
157,0.9912,-10.903194,-8.183380999999999,stairs
158,2.226608,-8.044516999999999,-2.341529,stairs
159,-1.647211,-11.851298,6.775591,stairs
160,8.39886,-13.771448,-2.566584,stairs
161,2.494758,-10.328587,-8.690952000000001,stairs
162,0.8236049999999999,-7.383717999999999,-3.5960910000000004,stairs
163,-6.224924,-12.23437,-26.230873,stairs
164,1.273715,-6.502651,-3.572149,stairs
165,0.7230489999999999,-6.871359,-4.079719,stairs
166,2.226608,-7.575253999999999,-12.555194,stairs
167,3.284845,-11.96622,-3.892972,stairs
168,3.945645,-11.760319,-8.09719,stairs
169,2.801216,-9.32781,-5.133168,stairs
170,-1.35033,-3.380613,-0.057461,stairs
171,-0.253785,-6.373365,0.205901,stairs
172,-1.608903,-6.502651,-3.998317,stairs
173,1.685518,-10.146626,-1.115698,stairs
174,-0.474052,-4.13718,-1.249773,stairs
175,-0.761356,-9.203311,-2.178723,stairs
176,-1.278504,-4.1419690000000005,0.253785,stairs
177,-0.3304,-6.105214,-3.284845,stairs
178,1.455675,-7.479486,-3.864241,stairs
179,1.613692,-9.150639,-4.151545,stairs
180,1.7525560000000002,-17.501614,-3.801992,stairs
181,2.331953,-9.744401,-7.407660000000001,stairs
182,3.222596,-8.920795,-3.08852,stairs
183,-3.457227,-2.715025,0.148441,stairs
184,2.264915,-9.931149,-4.659116,stairs
185,0.9912,-10.903194,-8.183380999999999,stairs
186,2.226608,-8.044516999999999,-2.341529,stairs
187,-1.647211,-11.851298,6.775591,stairs
188,8.39886,-13.771448,-2.566584,stairs
189,2.494758,-10.328587,-8.690952000000001,stairs
190,0.8236049999999999,-7.383717999999999,-3.5960910000000004,stairs
191,-6.224924,-12.23437,-26.230873,stairs
192,1.273715,-6.502651,-3.572149,stairs
193,0.7230489999999999,-6.871359,-4.079719,stairs
194,2.226608,-7.575253999999999,-12.555194,stairs
195,3.284845,-11.96622,-3.892972,stairs
196,3.945645,-11.760319,-8.09719,stairs
197,2.801216,-9.32781,-5.133168,stairs
198,-1.35033,-3.380613,-0.057461,stairs
199,-0.253785,-6.373365,0.205901,stairs
200,-1.608903,-6.502651,-3.998317,stairs
201,1.685518,-10.146626,-1.115698,stairs
202,-0.474052,-4.13718,-1.249773,stairs
203,-0.761356,-9.203311,-2.178723,stairs
204,-1.278504,-4.1419690000000005,0.253785,stairs
205,-0.3304,-6.105214,-3.284845,stairs
206,1.455675,-7.479486,-3.864241,stairs
207,1.613692,-9.150639,-4.151545,stairs
208,1.216255,-9.792285,0.636858,stairs
209,-2.54743,-7.086836999999999,-2.585738,stairs
210,3.222596,-8.920795,-3.08852,stairs
211,-3.457227,-2.715025,0.148441,stairs
212,2.264915,-9.931149,-4.659116,stairs
213,0.9912,-10.903194,-8.183380999999999,stairs
214,2.226608,-8.044516999999999,-2.341529,stairs
215,-1.647211,-11.851298,6.775591,stairs
216,8.39886,-13.771448,-2.566584,stairs
217,2.494758,-10.328587,-8.690952000000001,stairs
218,0.8236049999999999,-7.383717999999999,-3.5960910000000004,stairs
219,-6.224924,-12.23437,-26.230873,stairs
220,1.273715,-6.502651,-3.572149,stairs
221,0.7230489999999999,-6.871359,-4.079719,stairs
222,2.226608,-7.575253999999999,-12.555194,stairs
223,3.284845,-11.96622,-3.892972,stairs
224,3.945645,-11.760319,-8.09719,stairs
225,2.801216,-9.32781,-5.133168,stairs
226,-1.35033,-3.380613,-0.057461,stairs
227,-0.253785,-6.373365,0.205901,stairs
228,-1.608903,-6.502651,-3.998317,stairs
229,1.685518,-10.146626,-1.115698,stairs
230,-0.474052,-4.13718,-1.249773,stairs
231,-0.761356,-9.203311,-2.178723,stairs
232,-1.278504,-4.1419690000000005,0.253785,stairs
233,-0.3304,-6.105214,-3.284845,stairs
234,1.455675,-7.479486,-3.864241,stairs
235,1.613692,-9.150639,-4.151545,stairs
236,1.216255,-9.792285,0.636858,stairs
237,-2.54743,-7.086836999999999,-2.585738,stairs
238,-1.206678,-9.433155,-2.202665,stairs
239,-3.102885,-4.644751,-2.456451,stairs
240,2.264915,-9.931149,-4.659116,stairs
241,0.9912,-10.903194,-8.183380999999999,stairs
242,2.226608,-8.044516999999999,-2.341529,stairs
243,-1.647211,-11.851298,6.775591,stairs
244,8.39886,-13.771448,-2.566584,stairs
245,2.494758,-10.328587,-8.690952000000001,stairs
246,0.8236049999999999,-7.383717999999999,-3.5960910000000004,stairs
247,-6.224924,-12.23437,-26.230873,stairs
